id,url,date,title,location,description,info,horaires,salairemin,salairemax,entreprise,experience,contrat,debutant
3698337,https://candidat.pole-emploi.fr/offres/recherche/detail/3698337,2025-10-11,Offre d'emploi Data scientist (H/F) - 75 - Paris 1er Arrondissement - 3698337 | France Travail,75 - Paris 1er Arrondissement,"Almatek recherche pour l'un de ses clients Un Data Scientist sur Paris
Fonctions et responsabilités
En tant que Data Scientist confirmé(e), vous disposez d?une expérience avérée dans la conception et le développement de solutions centrées Machine Learning / Deep Learning. Vous souhaitez développer et approfondir cette expertise.
Vous rejoignez notre pôle d?expertise Data & IA pour accompagner nos clients dans la valorisation de leurs données et le déploiement de solutions d?intelligence artificielle à impact.
Vous interviendrez sur des projets variés, de l?idéation à l?industrialisation, en apportant votre expertise technique et votre capacité à créer de la valeur métier.
Vous pourrez développer vos compétences clés dans la résolution de problèmes, le passage à l?échelle et l?industrialisation des solutions, le déploiement de solutions dans le cloud, ?etc. Vous pourrez également développer vos compétences autour des technologiques et des cas d?usage de l?IA Genarative.
Vos missions seront les suivantes :
Comprendre les enjeux métiers et les traduire en cas d?usage pertinents
Collecter, explorer, nettoyer et structurer des données hétérogènes
Concevoir et entraîner des modèles de machine learning et deep learning (classification, NLP, vision, séries temporelles?)
Collaborer avec des équipes pluridisciplinaires (consultants, data engineers, architectes?)
Participer à la mise en production des modèles (MLOps, monitoring, robustesse)
Contribuer au cadrage, à la méthodologie et à l?innovation continue sur les projets IA
Mais aussi :
Déployer des solutions d?IA générative (LLMs, RAG, embeddings, agentique) dans des cas concrets : copilotes métiers, assistants intelligents, extraction d?information, etc.
Qualités requises pour réussir dans ce rôle
De formation Bac+5 (école d?Ingénieurs/ Université), vous avec une expérience d?au moins 3 ans en tant que Data Scientist.
Vos compétences sont les suivantes :
Une première expérience en ESN ou en cabinet de conseil
Autonomie, esprit d?équipe, proactivité et curiosité technologique
Capacité à vulgariser les concepts techniques et à co-construire des solutions IA avec les métiers
Expérience en méthodologies Agile (Scrum, Kanban, SAFe?)","
Profession libérale

Emploi non salarié
",unspecified,unspecified,unspecified,Almatek,5 An(s),Profession libérale,False
3698264,https://candidat.pole-emploi.fr/offres/recherche/detail/3698264,2025-10-11,Offre d'emploi Data scientist (H/F) - 35 - Rennes - 3698264 | France Travail,35 - Rennes,"Pour notre partenaire Rennais du secteur bancaire, vous jouerez un rôle clé dans la valorisation des données au sein de l'équipe Data & Analytics,
 Vous évoluerez en mode Agile, au coeur d'un écosystème collaboratif impliquant les équipes BI et Architecture, et interviendrez de bout en bout sur la chaîne de traitement de la donnée.
 Vos missions :
 - Collecter, consolider et fiabiliser les données depuis différentes sources internes (Oracle, ETL Talend...)
 - Réaliser des analyses exploratoires (EDA) pour identifier tendances, anomalies et leviers d'optimisation
 - Concevoir, entraîner et évaluer des modèles statistiques ou de machine learning selon les cas d'usage
 - Industrialiser et déployer les modèles en production, en lien étroit avec les équipes Data et Architecture
 - Mettre en place des dashboards et rapports automatisés avec Cognos
 - Interpréter les résultats et les restituer de manière claire et actionnable auprès des métiers
 
Parlons de vous ! 
 
Après 2 ans minimum sur une fonction similaire, vous êtes à la recherche de votre futur challenge. Cognos n'a pas de secret pour vous (il s'agit d'un pré requis). Vous maitrisez l'ETL Talend (ou un équivalent) et Oracle ne vous est pas inconnu.Vulgarisation, autonomie et rigueur sont vos maitres mots pour mener à bien vos projets.
Envie d'en savoir plus ? 
1. Dans un premier temps, vous échangerez avec l'un(e) d'entre nous par téléphone.
2. Puis, nous aurons le plaisir de nous rencontrer lors d'un entretien en visio ou en présentiel. 
3. Pour finir, discutez métier avec l'un de nos managers opérationnels.
4. Bienvenue chez nous !
Un recrutement efficace et attentionné : c'est ainsi que nous posons, chez DCS, les bases d'une collaboration durable.
 data COGNOS Talend Oracle","
CDI

Contrat travail
",00H/semaine,unspecified,unspecified,Dcs easyware,10 An(s),CDI,False
3698015,https://candidat.pole-emploi.fr/offres/recherche/detail/3698015,2025-10-11,Offre d'emploi Data scientist (H/F) - 75 - Paris 1er Arrondissement - 3698015 | France Travail,75 - Paris 1er Arrondissement,"Nous recherchons un Senior Data Scientist pour accompagner un grand groupe français dans la mise en place de sa stratégie IA, notamment sur des projets à forte visibilité dans le domaine média.
Vos principales missions :
Cadrer et structurer les projets IA en lien avec les métiers et les équipes IT
Concevoir et développer des prototypes et proof of concepts à forte valeur ajoutée
Conseiller et accompagner les équipes internes sur les usages de l?IA
Environnement technique :
Python, scikit-learn, TensorFlow, PyTorch, LangChain, vLLM, GCP (Vertex AI), FastAPI, Docker, Streamlit","
Profession libérale

Emploi non salarié
",unspecified,unspecified,unspecified,Lùkla,5 An(s),Profession libérale,False
3698000,https://candidat.pole-emploi.fr/offres/recherche/detail/3698000,2025-10-11,Offre d'emploi Data scientist (H/F) - France - 3698000 | France Travail,France,"Contexte et objectifs de la mission : 
Le client recherche un Data Scientist / Data Engineer confirmé disposant d?une expérience éprouvée en Data Science, en Large Language Models (LLMs) et dans l?utilisation avancée de LangChain et LangGraph. 
Le candidat participera à la conception, l?optimisation et l?industrialisation de solutions d?intelligence artificielle sur une stack Azure Fabric, Docker et App Container Services, incluant des modèles multimodaux et de Computer vision.
Missions : 
? Concevoir, entraîner et déployer des modèles prédictifs et explicatifs (Machine Learning, Deep Learning).
? Développer et maintenir des pipelines de données performants sur Azure Fabric.
? Conteneuriser et orchestrer les modèles via Docker et App Container Services.
? Implémenter et automatiser des workflows complexes via n8n.
? Intégrer et exploiter des LLMs (fine-tuning, RAG, GraphRAG) dans des 
environnements de production.
? Développer des solutions avancées à l?aide de LangChain et LangGraph pour la 
création d?agents intelligents et d?applications IA.
? Mettre en ?uvre des modèles multimodaux (texte, image, audio, vidéo) et de 
computer vision.
? Concevoir des interfaces de visualisation et d?interaction via Streamlit.
? Exploiter des LLMs Azure OpenAI et des modèles open source (Mistral, Llama, etc.) 
via Hugging Face.
? Garantir la qualité, la robustesse et la documentation du code et des modèles.
Compétences essentielles et expérience
? Automatisation & Orchestration : n8n
? LLMs & IA Générative : fine-tuning, RAG, GraphRAG, LangChain, LangGraph, modèles 
multimodaux, Azure OpenAI, Hugging Face, LLMs open source
? Machine Learning / Deep Learning : Régression linéaire et non linéaire, Random 
Forest, XGBoost, Gradient Boosting, CNN, RNN, Transformers, Computer Vision
? Cloud & Conteneurisation : Azure Fabric, Docker, App Container Services
? Langages : Python, SQL
? Frameworks & Outils : Streamlit, FastAPI, scikit-learn, PyTorch, TensorFlow
Profil recherché
? Bac+5 (Master / Ingénieur) en Data Science
? Minimum 5 ans d?expérience en Data Science et Data Engineering.
? Expérience éprouvée dans la mise en production de LLMs et l?usage de LangChain / 
LangGraph.
? Bonne maîtrise des LLMs open source et Azure OpenAI via Hugging Face.
? Solides compétences en modélisation prédictive, automatisation et industrialisation 
de modèles IA.
? Esprit analytique, rigueur et autonomie.","
Profession libérale

Emploi non salarié
",unspecified,unspecified,unspecified,Isupplier,10 An(s),Profession libérale,False
3697939,https://candidat.pole-emploi.fr/offres/recherche/detail/3697939,2025-10-11,Offre d'emploi Data scientist (H/F) - 13 - Marseille 1er Arrondissement - 3697939 | France Travail,13 - Marseille 1er Arrondissement,"Intégré.e à l?équipe Intelligence Artificielle, vous participerez à la mise en place de la stratégie IA principalement à destination des médias du Groupe. Vous interviendrez sur le cadrage des projets, l?élaboration des premiers algorithmes et la réalisation de pilotes en collaboration avec les équipes IT locales et les chefs de projets.  
Votre rôle 
Conception de Prototypes & Pilotes 
Élaborer et développer des prototypes et des projets pilotes pour démontrer la faisabilité et la valeur ajoutée des solutions IA 
Cadrage des projets IA 
Définir et structurer les projets d'intelligence artificielle en collaboration avec les parties prenantes 
Identifier les objectifs, les jeux de données, les ressources nécessaires et les étapes clés 
Conseil & Accompagnement  
Fournir des conseils stratégiques et techniques aux clients pour les aider à intégrer les solutions IA dans leurs processus métier ","
CDI

Contrat travail
",00H/semaine,52000.0,60000.0,Atlanse,5 An(s),CDI,False
3682856,https://candidat.pole-emploi.fr/offres/recherche/detail/3682856,2025-10-11,Offre d'emploi DATA ANALYST/SCIENTIST H/F  - STAGE 6 MOIS - (BAC+5) - 49 - Cholet - 3682856 | France Travail,49 - Cholet,"L'ENVIRONNEMENT DE TRAVAIL

Vous intégrez la Cellule innovation de notre département R&D. L’Équipe innovation est en charge du développement et l’intégration de nouvelles technologies dans nos produits. Elle est composée de 5 collaborateurs (Docteurs, Développeurs, Chef de projet).
Lors de cette alternance, plusieurs outils et méthodes seront mis à disposition de l’alternant :
• Le langage utilisé : Python, AiR
• Les outils : GitLab, Jira, PowerBI et équivalents
• La méthode : Agile KANBAN
• Les moyens : PC, base de données
• Autres : Clean


LES MISSIONS

FDI recherche un Data analyst scientist en stage à partir de février 2026 au sein de la Cellule Innovation. L’objectif de ce stage est d’analyser nos données afin d’améliorer et d’assurer la maintenance de nos produits pour proposer de nouveaux services à nos clients.
Le stage (février 2026 à juillet 2026), pourra se décliner en plusieurs étapes :
• L’appropriation du contexte projet (enjeux, objectifs…) : participation au cadrage du besoin client et à la réflexion sur la méthodologie à mettre en œuvre pour y apporter des réponses grâce à la data.
• L’appropriation du contexte technique : data Engineering, conteneurisation.
• La conception de la solution technique du traitement : développement de vos compétences en modélisation et machine Learning, combinées à votre créativité, pour élaborer des modèles permettant de répondre à des problématiques complexes.
• L’étude des comportements des utilisateurs (tracking, IA) ou ceux des briques logicielles (monitoring) : amélioration des produits (UX, dimensionnement de l’infrastructure, etc.) et de prédiction ou anticipation de leurs comportements.







LE PROFIL RECHERCHE

 * Vous suivez actuellement une formation universitaire type Master II en Data Science ou en dernière année de cycle ingénieur.
 * Vous disposez des connaissances et des compétences en traitement de bases de données, en analyse de données avec des méthodes statistiques et de machine learning, IA, des connaissances d’une solution de data visualisation (Tableau, Qlik, PowerBI, SAS VA, dataViz, …)
 * Vous savez programmer en Python /R, base de données.
 * Vous êtes capable de problématiser, d’analyser, de synthétiser et d’expliquer des concepts complexes simplement de façon pédagogique.
 * Vous êtes créatif (ve), motivé(e), organisé(e) et vous disposez d'une forte capacité à prendre des initiatives et de travail de façon autonome et collective.


 POURQUOI NOUS REJOINDRE ?

 * Intégrer une entreprise en développement, dans un secteur technologique innovant, avec un parcours d’intégration dès votre arrivée.
 * Bénéficier de nombreux avantages : une mutuelle familiale prise en charge à 70 % par l’entreprise, un restaurant d’entreprise sur site, un CSE, une salle de sport sur site et des cours, des locaux modernes.
 * Bénéficier d’un équilibre pour votre vie privée :  Semaine de 4 jours et demi, RTT.


LE PROCESSUS DE RECRUTEMENT

 * Questionnaire de présélection,
 * Entretien en présentiel à FDI avec le Responsable Electronique et Innovation et le Chef de projets Innovation.","
CDD - 8 Mois

Contrat apprentissage
","00H/semaine
Travail en journée",unspecified,unspecified,Fdi,Débutant accepté,CDD - 8 Mois,True
3671484,https://candidat.pole-emploi.fr/offres/recherche/detail/3671484,2025-10-11,Offre d'emploi Data Scientist H/F - 93 - Seine-Saint-Denis - 3671484 | France Travail,93 - Seine-Saint-Denis,"À propos de nous
Nous accompagnons nos clients dans la conception et le déploiement de solutions Data & Intelligence Artificielle à fort impact business.
Nos équipes interviennent sur l'ensemble de la chaîne de valeur de la donnée : de la collecte à l'analyse, jusqu'à l'industrialisation de modèles prédictifs.
Nous plaçons la proactivité, la curiosité et la qualité technique au cœur de nos projets.
Le poste
Dans le cadre de notre développement, nous recherchons un Data Scientist pour rejoindre notre équipe Data.
Tu travailleras sur des projets clients autour de l'acquisition digitale par la donnée, en lien étroit avec nos équipes data engineering et produit.
Tes missions principales
* Concevoir et déployer des pipelines de données automatisés (ETL / ingestion / transformation).
* Développer, tester et industrialiser des modèles de Machine Learning pour :
* le scoring d'audience,
* la segmentation client,
* la prédiction de comportements.
* Participer à la mise en production des modèles via nos environnements cloud (GCP).
* Contribuer à la structuration et à la qualité des données (ingestion, nettoyage, modélisation).
* Collaborer avec les équipes métier pour traduire les besoins business en solutions data concrètes.
Stack technique
* Langages : Python, R, SQL
* Cloud : Google Cloud Platform (BigQuery, Cloud Storage, Cloud Run, Composer, Dataform, DBT)
* Orchestration & ingestion : Airflow, API, ETL
* Versioning & déploiement : Git, CI/CD
* Machine Learning : scikit-learn, TensorFlow, XGBoost, etc.
Profil recherché
* Diplômé(e) d'une formation en Data Science, Informatique, Statistiques ou équivalent.
* Expérience significative (2 ans ou +) en Data Science / Data Engineering.
* Bonne maîtrise du développement en Python et de la manipulation SQL.
* Connaissance de l'écosystème GCP et des outils d'orchestration de flux de données.
* Esprit proactif, dynamique et rigoureux, avec une forte appétence pour la résolution de problèmes complexes.
* Capacité à collaborer avec des équipes pluridisciplinaires et à vulgariser les sujets data auprès des clients.
Pourquoi nous rejoindre ?
* Des projets variés et concrets pour des clients de secteurs différents.
* Un environnement cloud moderne et stimulant.
* Une équipe passionnée et bienveillante où la formation continue est encouragée.
* Une culture orientée innovation et impact.
Type d'emploi : CDI
Rémunération : 35 617,14€ à 45 506,02€ par an
Avantages :
* Flextime
* Prise en charge du transport quotidien
* Travail à domicile occasionnel
Lieu du poste : Télétravail hybride (93340 Le Raincy)","
CDI

Contrat travail
",00H/semaine,unspecified,unspecified,Unspecified,Expérience exigée,CDI,False
3675567,https://candidat.pole-emploi.fr/offres/recherche/detail/3675567,2025-10-11,"Offre d'emploi INGÉNIEUR DATA - DÉVELOPPEMENT, MAINTENANCE ET ADMINISTRATION (H/F) - 92 - Hauts-de-Seine - 3675567 | France Travail",92 - Hauts-de-Seine,"Référence CSP: 2025-2074328 
 Les principales missions du titulaire du poste sont :
-collaborer avec les équipes métier pour analyser leurs besoins fonctionnels en matière d'analyse et de traitement de données qui déterminent les solutions techniques ;
-concevoir, développer et maintenir en condition opérationnelle les infrastructures et systèmes permettant la collecte, le stockage, l'organisation et l'analyse des données au sein de l'agence. Plus précisément :
-concevoir, développer et maintenir des architectures de données scalables compatibles avec les outils d'analyse et de traitement utilisés par l'agence, en particulier Business Objects ;
-automatiser des pipelines ETL/ELT pour la collecte, la transformation et le chargement des données issues de sources variées ;
-construire, développer, optimiser et maintenir des modèles de données et des univers Business Objects pour assurer la restitution efficace des données ;
-concevoir et déployer des tableaux et outils d'analyse sous Business Objects répondant aux besoins métiers ;
-contribuer à la sécurité des données et au respect des bonnes pratiques et du cadre légal et réglementaire, notamment le RGPD ;
-assurer l'administration fonctionnelle des systèmes de données, notamment la gestion des habilitations ;
-assurer une veille technologique sur les outils data.","
CDD - 36 Mois

Contrat travail
",00H/semaine,unspecified,unspecified,Unspecified,2 An(s),CDD - 36 Mois,False
3669775,https://candidat.pole-emploi.fr/offres/recherche/detail/3669775,2025-10-11,Offre d'emploi Data Analyst - International Business Unit (IBU) DataHub - CDI - H/F - 81 - Tarn - 3669775 | France Travail,81 - Tarn,"Qui sommes-nous ?

Pierre Fabre est le 2ème laboratoire dermo-cosmétique mondial, le 2ème groupe pharmaceutique privé français et le leader des produits vendus hors prescription dans les pharmacies en France.

Son portefeuille compte plusieurs franchises médicales et marques internationales dont Pierre Fabre Oncologie, Pierre Fabre Dermatologie, Eau Thermale Avène, Klorane, Ducray, René Furterer, A-Derma, Naturactive et Pierre Fabre Oral Care.

Implanté depuis toujours en région Occitanie, fabricant plus de 95% de ses produits en France, le groupe emploie près de 10 000 collaborateurs dans le monde et distribue ses produits dans quelque 130 pays. Pierre Fabre est détenu à 86% par la Fondation Pierre Fabre, une fondation reconnue dutilité publique, et secondairement par ses collaborateurs à travers un plan dactionnariat salarié.

En 2021, Ecocert Environnement a évalué la démarche de responsabilité sociétale et environnementale du Groupe selon la norme ISO 26000 du développement durable et lui a attribué le niveau  Excellence .

Pierre Fabre est reconnu comme lun des  Meilleurs Employeurs du Monde 2021  par Forbes. Notre groupe est classé dans le Top 6 de lindustrie cosmétique et dans le Top 7 de lindustrie pharmaceutique dans le monde. Nous sommes convaincus que notre engagement et notre passion font préserver notre indépendance et vivre notre raison d'être.


Votre mission

Au sein de la Direction de la Business Unit Internationale du groupe PIERRE FABRE (BUI - près dune trentaine de filiales et une distribution répartie sur plus dune centaine de pays), et plus particulièrement de l'équipe DataHub BUI, nous recherchons notre futur(e) :

Data Analyst - International Business Unit (IBU) DataHub - CDI - H/F

A ce poste, vous apportez des insights et des solutions data-driven orientés business pour guider la prise de décision stratégique et opérationnelle, maximiser l'impact commercial et renforcer nos positions sur les marchés dermocosmétiques et pharmaceutiques.

En tant que Data Analyst, vous aurez pour mission :

- La collecte, lexploration, lexploitation, lanalyse de données issues de multiples sources (CRM, ERP, Web Analytics, Market Data, etc.);

- La construction et lautomatisation de tableaux de bord et reportings à destination des équipes métier;

- Lidentification des tendances, opportunités et risques à travers des analyses approfondies;

- La participation à lamélioration des processus de gestion et de gouvernance des données;

- La collaboration avec les équipes IT (DAIS) /Data Science (Data Office) pour le développement de modèles prédictifs et dalgorithmes doptimisation de nos flux de traitement de données;

- La présentation des résultats danalyse de manière claire et impactante auprès des parties prenantes.

Dans la mesure où un bon insight doit nécessairement sappuyer sur des données de bonne qualité, vous aurez également un rôle de Data-Steward fonctionnel sur ces mêmes données.

En complément, vous pourrez être amené(e) à assurer ponctuellement des responsabilités de Chef de Projets Data en jouant le rôle dinterface entre les équipes métiers, le Data Office et les équipes de développement technique dans le but de garantir la faisabilité, la qualité, le coût et les délais sur de nouveaux projets/besoins métiers.


Ce poste est à pourvoir au plus vite dans le cadre d'un CDI. Le poste est basé à Lavaur (81) et est éligible à 2 jours de télétravail.


Qui êtes-vous ?

Diplômé(e) dune formation supérieure (Ingénieur ou Ecole de commerce) avec une spécialité en statistiques, data science, informatique décisionnelle, ingénierie ou équivalent.

Vous avez une expérience de 1 à 3 ans en analyse de données dans un environnement dynamique et international.

Vous avez les compétences suivantes :


Compétences techniques

 * Maîtrise des outils danalyse et de visualisation de données (SQL, Power BI, Tableau, Qlik Sens, etc.);
 * Compétences en manipulation de données et en programmation (Python, R, Excel avancé);
 * Bonne connaissance des bases de données relationnelles et du langage SQL;
 * Expérience avec des techniques statistiques et analytiques avancées;
 * Compréhension des concepts de machine learning et dIA (un plus).

Compétences comportementales

 * Esprit analytique et capacité à synthétiser des informations complexes;
 * Excellentes compétences en communication pour vulgariser les analyses et recommandations;
 * Autonomie, rigueur et souci du détail;
 * Capacité à travailler en équipe et à collaborer avec des interlocuteurs variés;
 * Sens du busin","
CDI

Contrat travail
",00H/semaine,unspecified,unspecified,Unspecified,Débutant accepté,CDI,True
3677324,https://candidat.pole-emploi.fr/offres/recherche/detail/3677324,2025-10-11,Offre d'emploi DATA INGENIEUR (H/F) - 972 - Lamentin - 3677324 | France Travail,972 - Lamentin,"En tant que Data Ingénieur, vous jouez un rôle clé dans la mise en place de flux de données fiables et performants pour soutenir l'activité Data & BI.

Vous veillez à la qualité, à la disponibilité et à la robustesse des données dans un environnement cloud moderne (Talend, Snowflake, DBT). Vous travaillerez en étroite collaboration avec toute l'équipe Data & BI composée de Data Analystes/Scientists, Product Owner Data et autres Data Ingénieurs (.).

Vos missions :

 * Concevoir, maintenir et optimiser les pipelines de données pour alimenter les produits Data et BI, en s'appuyant sur la stack Talend, Snowflake et DBT.

 * Garantir la qualité, la traçabilité et la disponibilité des données tout au long de leur cycle de vie, en phase avec les exigences métiers et techniques.

 * Structurer les données de manière cohérente, fiable et pérenne pour faciliter leur exploitation par l'ensemble des acteurs Data.

 * Travailler en synergie avec les Data Analysts-Scientists et les PO Data pour assurer une donnée accessible, bien structurée et alignée sur les usages métiers.

 * Participer à l'industrialisation des traitements et à l'amélioration continue de l'architecture Data (documentation, robustesse, performance, sécurité.).
* Diplômé d'une formation en informatique, data engineering ou équivalent

 * Bonne expérience de plus de 4 ans sur un poste similaire

 * Maîtrise outils ETL / SQL, idéalement connaissance Talend/Snowflake/DBT apprécié.

 * Bonne compréhension des enjeux de qualité, performance et structuration data.

 * Proactivité, rigueur, esprit d'équipe et orienté solution

Prêt à relever des défis data concrets et stimulants ?

Rejoignez une équipe engagée dans un projet ambitieux au cœur de la transformation digitale du groupe GBH !","
CDI

Contrat travail
",00H/semaine,unspecified,unspecified,Gbh,4 An(s),CDI,False
