id,url,date,title,location,description,info,horaires,salairemin,salairemax,entreprise,experience,contrat,debutant
157WSMP,https://candidat.pole-emploi.fr/offres/recherche/detail/157WSMP,2023-07-09,"Offre d'emploi Apprenti(e) Informaticien, Data scientist double compétence (H/F) - 973 - CAYENNE - 157WSMP | Pôle emploi",973 - CAYENNE,"organisme de formation, centre de formation des apprentis et bureau d'études socio-économiques situé en guyane, nous recrutons un bac +3 minimum en informatique souhaitant se diversifier dans le domaine des data sciences ou du développement d'application. vous validerez tout au long de votre parcours professionnel, des certifications utiles au développement de nos projets et posséderez alors une réelle aisance dans le montage, la réalisation et la gestion de projets contenant une forte composante numérique et éducative. ce poste en alternance interne est à pourvoir au plus tôt. les recrutements en apprentissage sont possibles dans le cadre de notre cfa. en 18 mois maximum vous devrez être en mesure d'assurer les fonctions de responsable de projet chargé(e) de développement pour nos activités liées à l'edtech (technologies de l'education) et à la modélisation de l'information du bâtiment (bim). une offre d'emploi en cdd ou cdi sera proposée au terme du contrat d'apprentissage si celui-ci est concluant.","
Contrat à durée déterminée - 12 Mois

Contrat apprentissage
",35H Travail en journée,1750.86,2000.0,Unspecified,Débutant accepté,Contrat à durée déterminée - 12 Mois,True
157TXBN,https://candidat.pole-emploi.fr/offres/recherche/detail/157TXBN,2023-07-10,Offre d'emploi DATASCIENTIST - STARTUP TRANSITION ENERGETIQUE / SOLAIRE (H/F) - 38 - GRENOBLE - 157TXBN | Pôle emploi,38 - GRENOBLE,"description du poste :

le/la datascientist viendra renforcer l'équipe r&d et produit de la startup pour l'amélioration continue des algorithmes et solutions logicielles d'heliocity visant à identifier les causes de sous-performances d'installations solaires à partir des données de production et proposer des recommandations d'actions pour de la maintenance corrective, préventive et prédictive. il/elle sera aussi impliqué(e) dans le maintien et l'amélioration de la plateforme informatique et algorithmique et pourra, ponctuellement, être associé(e) au processus de production. en fonction du profil, le(la) candidat(e) pourra rejoindre le comité de direction.

il/elle participera aux activités suivantes :

 	planification de r&d :
  o	analyse des limitations des solutions heliocity existantes et veille concurrentielle,
  o	etudes bibliographiques pour identifier de nouvelles méthodes pertinentes à des fins d'amélioration,
  o	conception mathématique d'algorithmes pour étudier les méthodes sélectionnées,
  o	conception des tests pour le développement et l'évaluation de méthodes sélectionnées,
  o	présentations et documentations internes,

 	evaluation des méthodes pour le traitement des données de suivi et l'analyse des performances des installations solaires
  o	conception d'algorithmes démonstrateurs en utilisant les langages/ frameworks appropriés (python, sql, ...),
  o	préparation des échantillons de données tests,
  o	analyse de performance des méthodes, 
  o	data visualisation pour démontrer les caractéristiques,

 	intégration des nouvelles fonctionnalités
  o	développement et industrialisations des algorithmes retenus,
  o	intégration des nouvelles fonctionnalités dans la chaine d'analyse principale,
  o	rédaction de la documentation pour les développements ultérieurs et la mise en production,

 	optimisation algorithmique
  o	identification de pic de charge de calcul
  o	exploration des pistes d'amélioration telles que la parallélisation des étapes de calcul
  o	adaptation du moteur de calcul pour différents scénarios de fonctionnement
  o	gestion efficace des entrées et sorties de calcul

 	maintenance évolutive et corrective
  o	gestion et résolution des « incidents » et mise en place de correctifs.","
Contrat à durée indéterminée

Contrat travail
",35H Horaires annualisables,unspecified,unspecified,Heliocity,Débutant accepté,Contrat à durée indéterminée,True
157SMVY,https://candidat.pole-emploi.fr/offres/recherche/detail/157SMVY,2023-07-09,Offre d'emploi Alternant(e) Data Scientist (H/F) - 78 - VILLENNES SUR SEINE - 157SMVY | Pôle emploi,78 - VILLENNES SUR SEINE,"vous aurez pour principales missions :
-	collaborer avec les membres de l'équipe pour comprendre les besoins en matière de données et développer des solutions innovantes 
-	présenter des résultats et des recommandations 
-	créer un modèle conversationnel de chatbot 
-	identifier les opportunités et modalités pour intégrer de l'intelligence artificielle 
-	concevoir, développer et mettre en œuvre des modèles prédictifs et des algorithmes de machine learning.

qualifications :
-	dernière année de master en mathématiques, statistiques, informatique, data science ou dans un domaine connexe 
-	connaissance approfondie des statistiques, de l'apprentissage automatique et des outils de visualisation de données 
-	maîtrise des principaux langages de programmation utilisés dans le domaine de la data science (python, r, sql, etc.) 
-	bonne compréhension des bases de données relationnelles et non relationnelles
-	capacité à travailler en équipe et à communiquer clairement et efficacement ;
-	motivé(e) par la résolution de problèmes et l'exploration de nouvelles technologies et techniques 
-	autonomie, force de proposition, facilité à s'exprimer, à partager ses idées.

nous offrons une opportunité d'intégrer une équipe d'entrepreneurs dynamiques, qui partage un set de valeurs fortes autour du développement, de la confiance, de la collaboration et de l'innovation. motivé(e) par les défis et les opportunités de travailler dans le domaine de la data science et intelligence artificielle, des neurosciences cognitives et vous avez une passion pour l'apprentissage","
Contrat à durée déterminée - 12 Mois

Contrat apprentissage
",35H Travail en journée,unspecified,unspecified,Feelead app,1 an,Contrat à durée déterminée - 12 Mois,False
157RPXK,https://candidat.pole-emploi.fr/offres/recherche/detail/157RPXK,2023-07-09,Offre d'emploi Data scientist (H/F) - 60 - SENLIS - 157RPXK | Pôle emploi,60 - SENLIS,"pb solutions recherche pour son client industriel situé à senlis dans l oise (60), un ingénieur data sciences h/f dans le cadre d une missions jusque fin décembre 2023, renouvelable

 

les travaux datasciences ont démarré depuis t3 2022, de nombreux échanges entre datascientist et industriels ont eu lieu afin de constituer un jeu de données compris et partagé. différentes approches de modélisation ont été réalisées sans atteindre une performance satisfaisante, aussi de nouvelles données sont en cours de collecte : poteyage, relevés papier de contrôle, météo ateliers, correction de capteurs, et un 3eme sprint d analyse va se lancer fin aout.

en parallèle 2 autres approches sont bien avancées et souhaitent être poursuivies : exploitation de documents scannés par ocr, exploitation de photos issues de caméras thermographiques.

le besoin est donc de bénéficier de compétences en analyse de la donnée de 3 natures :

 

- modélisation machine learning / deep learning permettant de prédire la qualité d une pièce en fonction des paramètres de fabrication

- une approche hybride mêlant modélisation ia et simulation physiques est à poursuivre (par exemple une approche autoencodeur variationnel)

- utilisation de l ocr afin de collecter des données à partir de matériel papier scanné (fournis par l industriel)

- analyse d image pour exploiter des photos thermographiques, par exemple en comparant une base de référence (pièce saine, pièce rebutée avec annotation des défauts) avec des photos de pièces


et également demandé une bonne capacité de communication, afin de présenter ses travaux aux industriels et être capable de faire émerger de nouveaux besoins en réalisant une vulgarisation des sciences de la données.

un datascientist junior interne travaille à temps partiel sur le projet depuis janvier 2023 et dispose de l historique des échanges.

 

description du profil
vous maîtrisez les outils informatiques : machine learning, deep learning, analyse statistique, pré-traitement des données et avez connaissance des langages de codage : python, bibliothèques opensource machine learning, auto-encodeur variationnel


aussi, vous avez des compétences en machine learning, deep learning, analyse statistique, pré-traitement des données","
Contrat à durée déterminée - 5 Mois

Contrat travail
",38H30 Travail en journée,40000.0,55000.0,Pb solutions,5 ans,Contrat à durée déterminée - 5 Mois,False
157NFKX,https://candidat.pole-emploi.fr/offres/recherche/detail/157NFKX,2023-07-09,Offre d'emploi Data Scientist R&D H/F - 63 - CLERMONT FERRAND - 157NFKX | Pôle emploi,63 - CLERMONT FERRAND,"tes missions principales
-	proposer et développer des méthodes d'automatisation de calcul d'émissions
-	réaliser et améliorer des prompts (prompt engineering)
-	utiliser des llm et des techniques de nlp
-	identifier et collecter des données textuelles pertinentes dans des sources de données non structurées. nettoyer, transformer et préparer les données pour l'analyse
-	mettre en place une méthode de vérification des données extraites
-	interpréter les résultats des analyses et des modèles 

compétences techniques
-	niveau master 2 en data science 
-	excellentes compétences en mathématiques, statistiques et analyse de données
-	déploiement et mise à l'échelle de modèles 
-	maîtrise du python et du sql 
-	maîtrise des méthodes de machine learning et deep learning (régression, classification,  clustering,  arbres de décision, réseaux de neurones,  )
-	connaissance et pratique d'une bibliothèque de deep learning (pytorch, tensorflow, )
-	expérience dans la manipulation, l'analyse de données et l'utilisation d'outils de data visualization
-	connaissances et expériences avec le nlp, les llm et l'environnement d'openai

attitude
-	tu es à l'aise avec des données non structurées, incomplètes et ambiguës
-	tu es capable de communiquer tes travaux de manière pédagogique
-	tu es intéressé(e) par la recherche et l'innovation en data science
-	tu es autonome, curieux(se), polyvalent(e) et force de proposition
-	tu es intéressé(e) par la comptabilité et les bilans d'émissions de gaz à effet de serre
-	tu aimes travailler en équipe
-	tu es intéressé(e) par les enjeux climatiques et tu souhaites construire l'avenir de la comptabilité carbone","
Contrat à durée indéterminée

Contrat travail
",39H Travail en journée,2800.0,5000.0,4.71,3 ans,Contrat à durée indéterminée,False
157LFCT,https://candidat.pole-emploi.fr/offres/recherche/detail/157LFCT,2023-07-10,Offre d'emploi Data scientist - 69 - LYON 03 - 157LFCT | Pôle emploi,69 - LYON 03,"le data scientist sera en charge de la mise en place d'algorithmes d'aide à la décision médicale pour améliorer la recherche médicale en utilisant des algorithmes d'apprentissage profond de pointe dans le domaine de l'oncologie. le titulaire du poste développera et entraînera des modèles de détection de lésions sur des images de microscopie tissulaire afin d'établir un diagnostic à visée thérapeutique.

responsabilités principales :
-	développer et entraîner des modèles de détection de lésions sur des images de microscopie tissulaire.
-	travailler sur des projets avec des laboratoires et hôpitaux, ainsi qu'avec les autres membres de l'équipe.
-	collaborer avec d'autres membres de l'équipe r&d (médecins, chercheurs et ingénieurs).
-	mettre en place des algorithmes d'aide à la décision médicale.
-	25% du temps de travail sera dédié aux thématiques liées au développement web et ou à des projets transversaux pour participer au développement de la startup.

exigences :
-	diplôme en data science, informatique ou mathématiques.(bac +5)
-	solide expérience en programmation et en algorithmes d'apprentissage profond.
-	bonne maîtrise de python (notamment la poo) et des librairies machine learning standards (scikit, pytorch, transformers, etc.).
-	connaissances académiques et/ou expérience en deep learning et application sur l'imagerie : vous avez déjà réalisé des projets avec des données du monde réel et êtes familier avec les réseaux de neurones convolutifs (cnn), la validation croisée et les tests statistiques.
-	connaissance des ""bonnes pratiques"" du développement de modèles (écriture de code modulaire et documenté ; structuration de notebook ; bonnes pratiques de collaboration et de versioning, tests unitaires, documentation).
-	maîtrise de l'anglais et d'excellentes compétences en communication écrite et orale.
-	capacité à communiquer efficacement, à travailler en équipe, à être flexible et adaptable, à montrer du leadership, à penser de manière innovante, à être proactive et à avoir de l'empathie et de bonnes compétences relationnelles.


vous pouvez avoir l'ensemble des informations sur notre entreprise sur notre site web : www.diadeep.com","
Contrat à durée indéterminée

Contrat travail
",35H Travail en journée,unspecified,unspecified,Diadeep,Débutant accepté,Contrat à durée indéterminée,True
157JTSX,https://candidat.pole-emploi.fr/offres/recherche/detail/157JTSX,2023-07-03,Offre d'emploi Data Scientist / Développ.eur.euse Dataiku (H/F) - 84 - AVIGNON - 157JTSX | Pôle emploi,84 - AVIGNON,"tes missions seront :
le développement et l'automatisation :
- développer des macros personnalisées sur dataiku pour faciliter le nettoyage et la validation de conformité des projets du métier.
- automatiser les tâches récurrentes liées au nettoyage des données et à la validation des projets.
la gestion des bonnes pratiques :
- instaurer des bonnes pratiques sur dataiku en matière de gestion de projets et de manipulation des données.
- créer des guides et des documents de référence pour l'utilisation efficace de dataiku.
le support et l'assistance :
- fournir un support technique sur dataiku et les macros développées, en répondant aux questions des utilisateurs et en résolvant les problèmes rencontrés.
- assister les utilisateurs dans l'utilisation des macros et les aider à optimiser leurs workflows.
le développement de dashboards et l'analyses de données :
- concevoir et développer des dashboards interactifs sur tableau pour visualiser les données et les résultats des analyses.
- effectuer des analyses de données sur les logs de dataiku afin de segmenter les utilisateurs et de réduire les coûts de licence.
le challenge et l'évaluation :
- évaluer les solutions existantes en matière de données à la poste et challenger les processus et les outils en place.
- participer aux appels d'offres liés aux données en proposant des améliorations et des solutions innovantes.
la migration du data lake :
- assurer le suivi et la gestion de la migration du data lake, en garantissant une transition sans heurts des données critiques vers la nouvelle infrastructure.
- s'assurer de l'intégrité et de l'accessibilité des données tout au long du processus de migration.
la communication et la présentation :
- présenter et communiquer les résultats des analyses de données, les macros développées et les bonnes pratiques aux équipes métier.
- organiser des sessions de formation et des réunions pour partager les connaissances et favoriser l'adoption des meilleures pratiques.

ton profil :
- exigence : ton objectif principal est de comprendre les objectifs du projet et les besoins des parties prenantes. tu accordes une grande importance à la communication et poses des questions pour garantir une compréhension mutuelle claire. tu excelles à l'oral comme à l'écrit, t'exprimant de manière claire et efficace. grâce à ta capacité d'analyse et de synthèse, tu simplifies les informations complexes pour les transmettre facilement à l'équipe. tu es un collaborateur harmonieux, attentif aux besoins des clients et prêt à soutenir tes collègues. enfin, tu es rigoureux dans la gestion du projet et as une réelle motivation pour atteindre les objectifs fixés. pour toi, la réussite se traduit par une livraison de qualité.
- passion : geek est un compliment, tu aimes l'univers digital et notamment dans sa dimension technique. cette passion de la tech te permet d'être naturellement à l'aise dans les projets qui peuvent parfois s'avérer complexes et pointus. tu ne peux pas te sentir largué, donc ce n'est pas un effort que de te mettre à jour régulièrement sur les sujets de technologie, c'est un plaisir nourrissant.
- ouverture : comme nous, tu regardes le monde entier avec intérêt : tu aimes rencontrer des gens d'origines diverses, tu parles ou apprends plusieurs langues, les autres cultures sont des sources d'inspiration, tu peux ou souhaiterais voyager  tu es ouvert aux richesses de l'autre.

#avignon #agenceweb #digital","
Contrat à durée indéterminée

Contrat travail
",35H Travail en journée,unspecified,unspecified,Glanum,3 ans,Contrat à durée indéterminée,False
157DLDF,https://candidat.pole-emploi.fr/offres/recherche/detail/157DLDF,2023-06-28,Offre d'emploi SENIOR DATA SCIENTIST - PRODUCT OWNER (H/F) - 75 - Paris (Dept.) - 157DLDF | Pôle emploi,75 - Paris (Dept.),"notre client est une société française spécialisée dans le développement d'instruments et dans la mise en œuvre de services pour des équipements d'analyse de la matière à base d'interrogation neutronique.

vous rejoignez une équipe professionnelle, dynamique et agréable que vous accompagnez et faite monter en compétences  au sein du groupe « systèmes neutroniques » en mettant en place les méthodologies, des outils, des guides et des formations. vous gérez les moyens techniques et humains du groupe en charge des solutions algorithmiques développées, pour répondre aux besoins des clients. vous assurez l'adéquation des compétences et des outils aux besoins des projets ainsi que des produits en cohérence avec la stratégie de l'entreprise. 

vos missions :
 	assurer le pilotage, le cadrage des algorithmes et des logiciels scientifiques nécessaires au bon fonctionnement des solutions client et ce en phase de développement, de déploiement ou de maintenance. vous assurez un rôle de responsable produit pour les algorithmes et les logiciels à produire.
 	coordonner et organiser l'activité de l'équipe en charge de la partie algorithmie des « solutions » lors des différentes étapes de vie des applications. à ce titre vous assurez une bonne coordination avec l'équipe système mais aussi avec les clients internes (projets, sav, etc.) avec lesquels vous êtes en interface.
 	assurer le rôle d'expert fonctionnel en data sciences aux niveaux stratégique, tactique et opérationnel :

o	fixer et être garant des méthodologies de science des données et de développement logiciel de l'équipe facilitant la qualification des sous-projets, les développements itératifs, l'industrialisation des solutions, leur maintenabilité, la mesure et le suivi de leur performance
o	maintenir l'expertise sur les produits en opération, et les outils algorithmiques existants
o	assurer la veille dans son domaine métier, participer à des réseaux de partenaires et benchmarker
o	conseiller, guider et assurer la montée en compétences des ingénieurs de l'équipe
o	contribuer à l'amélioration et à la gestion du patrimoine de données de l'entreprise
o	promouvoir des solutions innovantes pour les algorithmes de traitement

vos atouts pour ce poste :
-	formation de niveau bac+5 ingénieur ou master à dominante mathématiques/statistiques. une spécialisation en instrumentation ou un sujet connexe (data science appliquée à la mesure physique, notamment nucléaire, etc.) est souhaité
-	vous justifiez d'une expérience impérative de plus de 15 ans en tant que data scientist, lead data scientist dans un secteur ou périmètre technique proche ou similaire (projet multidisciplinaires) 
-	une solide expérience du rôle de product owner pour des applications logiciels est recherchée 
-	une expérience dans un poste de management d'équipe et/ou candidat possédant une appétence.
-	maîtrise des langages & technologies : matlab, python, svn, machine learning
-	expérience significative dans l'architecture d'application ou de logiciel scientifique
-	expérience significative de gestion des développements dans un environnement agile, dans l'utilisation de solution alm (tuleap), et en data management
-	capacité à communiquer de manière pédagogique sur des sujets complexes. 
-	vous savez parfaitement vous exprimer en anglais.


envoyez rapidement votre candidature (cv et lettre de motivation) sous référence ms290622-088 en vous connectant via le lien suivant : https://www.acavi.fr/offres-emploi/job/ms290622-088-aca/senior-data-scientist-product-owner-instrumentation-scientifique-idf-hf","
Contrat à durée indéterminée

Contrat travail
",35H Travail en journée,55000.0,65000.0,Acavi,15 ans,Contrat à durée indéterminée,False
157BWWX,https://candidat.pole-emploi.fr/offres/recherche/detail/157BWWX,2023-07-10,Offre d'emploi Data scientist & engineer H/F (H/F) - 974 - ST DENIS - 157BWWX | Pôle emploi,974 - ST DENIS,"dans le cadre du développement de son service de livraison, please international network recherche un(e) data engineer et data scientist.

vous serez directement rattaché(e) à la société « please international network », pour son produit « please mon home service » service de conciergerie en ligne et leader à la réunion, mayotte et aux antilles.

description de poste :

nous recherchons un(e) data engineer et data scientist pour rejoindre notre équipe it afin de manager une petite équipe data composé de data analyste, de mettre en place les stratégies d'analyse et d'exploitation des données de l'entreprise, de participer aux réflexions et mise en place des futurs projets d'intelligence artificielle.

le candidat(e) idéal(e) est organisé(e), motivé(e), curieux (se). le candidat(e) doit également être en mesure de travailler en équipe et de respecter les délais.

le poste est éligible à une thèse cifre.

responsabilités :

- manager son équipe : accompagner les data scientists, data analysts et data engineer, résoudre les problèmes, les faire monter en compétences
- superviser le projet : contrôle de la bonne progression des projets, définition de la ligne directrice, des choix techniques, méthodes à utiliser
- être le référent sur les solutions de collecte, analyse, traitement des données, mettre en place de bonnes pratiques, et vérifier les actions menées par son équipe
- respecter le budget alloué
- définition et mise en place de solutions de collecte, stockage, analyse et traitement des données
- construction d'algorithmes permettant d'améliorer les résultats de recherches et de ciblage
- élaboration de modèle de prédictions afin d'anticiper les évolutions des données et des tendances
- création de tableaux de bord adaptés afin de rendre les résultats lisibles et exploitables par tous les métiers
- veille technologique (collecte de données, plateformes de traitement, expérimentation)
- livrer en production, préparer la documentation

compétences souhaitées :

- capacité à manager une petite équipe et à collaborer avec différents services de l'entreprise
- capacité à travailler dans un environnement dynamique et à gérer plusieurs tâches simultanément
- sens de l'écoute
- autonomie et rigueur
- connaissances de docker et linux
- connaissances en scripting (shell, python, etc.)
- connaissances des enjeux et de la plus-value du domaine de la data science
- connaissances en base de données (postgresql, mongodb, etc.)
- connaissances d'apache airflow et superset appréciées

profil recherché :

- capacité à apprendre de nouveaux concepts, technologie
- intérêt pour l'intelligence artificielle
- capacité à travailler de manière autonome et à prendre des initiatives
- curiosité et envie d'apprendre

type de contrat : cdi 

lieu : ste clotilde à la réunion

prise de poste : début septembre","
Contrat à durée indéterminée

Contrat travail
",35H Travail en journée,2500.0,3600.0,Pin,Débutant accepté,Contrat à durée indéterminée,True
157BJKG,https://candidat.pole-emploi.fr/offres/recherche/detail/157BJKG,2023-07-07,Offre d'emploi Data scientist - 94 - VITRY SUR SEINE - 157BJKG | Pôle emploi,94 - VITRY SUR SEINE,"nous recherchons un/e data scientist afin de rejoindre la direction data et projet d'amc, la centrale d'achats du groupe casino. vous aurez l'opportunité de participer au développement de cette direction, et de devenir un(e) véritable référent(e) « data », avec une vision à 360° sur l'ensemble des données manipulées par le groupe casino dans une ambiance agile et très dynamique.

la direction data et projets est une direction transversale qui comprend 2 pôles, le pôle projets et le pôle data. elle est rattachée à la direction administratif, financier et projets. 

vos missions :

au sein du pôle data, vous participerez à la structuration des données internes et externes ainsi qu'à la création des outils pour les différentes équipes de la centrale d'achats. 

administration des données :

-       assimiler l'ensemble des sources de données disponibles, par exemple, en interne : données d'achats et de ventes des différentes enseignes ; données produits, fidélité ; données logistiques, données qualité  ; en externe : données des panélistes, données fournisseurs.

-       etre le point contact avec les différentes équipes techniques du groupe et les prestataires externes (référentiels des enseignes, panélistes) pour travailler ensemble sur la qualité de la donnée et les potentielles évolutions de nos bases de données.

-       définir les requêtes et les processus impliquant les différentes parties prenantes, afin de disposer le plus simplement possible des données existantes.

-       exploiter les données disponibles en effectuant les requêtes, traitements, croisements nécessaires, afin d'en tirer tout le potentiel possible.

-       mise à disposition des données existantes : recherches et préconisations de solutions techniques afin d'éviter des exports bruts.

-       développer et améliorer de façon continue les reportings powerbi afin de répondre aux besoins des clients (directeurs achats, acheteurs, chargés  romo, direction qualité).

-       etre source de proposition pour valoriser au mieux les données manipulées, en interne comme en externe.

automatisation et création d'outils :

la mission consiste en des travaux de définition, conception, de réalisation, de tests et de livraison d'applications python :

-     recueillir les besoins des clients en réalisant des sessions de travail multidisciplinaires avec eux (directeurs achats, acheteurs, chargés promo, direction qualité).

-     participer à la rédaction de la documentation fonctionnelle et technique.

-     réaliser des développements python pour exploiter de la donnée ainsi que pour automatiser des procédures existantes.

-     suivre les tests et corriger les anomalies.

-     livrer en production, préparer la documentation pour l'utilisateur final et être le product owner de l'outil pendant tout ce cycle de vie (amélioration continue, sav).

poste en cdi.

localisation : vitry-sur-seine (94).

profil :

vous êtes issu(e) d'une formation de type grande ecole d'ingénieur ou de commerce.

-     vous avez une expérience similaire d'1 ou 2 ans dans le domaine de la data.

-     bonne maîtrise de snowflake, teradata, sql, python, vba et excel.

-     passion pour la donnée, esprit d'analyse et capacité de conception.

-     curiosité, adaptabilité, rigueur et bonne aptitude relationnelle.

-     goût pour la pratique de l'outil informatique et l'innovation.


""la diversité trouve toute son expression dans la politique de recrutement du groupe casino qui privilégie l'égalité des chances et la diversité des individus au sein de ses équipes"".","
Contrat à durée indéterminée

Contrat travail
",39H Travail en journée,40000.0,45000.0,Achats marchandises casino,Débutant accepté,Contrat à durée indéterminée,True
